mem_score,mem_risk,mem_conf,logic_score,logic_risk,logic_conf,read_score,read_risk,read_conf,write_score,write_risk,write_conf,overall_risk
0.384,1,0.616,0.196,1,0.804,0.348,1,0.652,0.388,1,0.612,1
0.5,0,0.5,0.76,0,0.24,0.393,1,0.607,0.601,0,0.399,0
0.381,1,0.619,0.878,0,0.122,0.235,1,0.765,0.384,1,0.616,1
0.686,0,0.314,0.968,0,0.032,0.489,1,0.511,0.323,1,0.677,1
0.097,1,0.903,0.679,0,0.321,0.251,1,0.749,0.293,1,0.707,1
0.758,0,0.242,0.507,0,0.493,0.585,0,0.415,0.428,1,0.572,0
0.242,1,0.758,0.122,1,0.878,0.541,0,0.459,0.095,1,0.905,1
0.632,0,0.368,0.432,1,0.568,0.204,1,0.796,0.085,1,0.915,1
0.567,0,0.433,0.445,1,0.555,0.3,1,0.7,0.465,1,0.535,1
0.28,1,0.72,0.265,1,0.735,0.307,1,0.693,0.117,1,0.883,1
0.153,1,0.847,0.411,1,0.589,0.796,0,0.204,0.451,1,0.549,1
0.804,0,0.196,0.619,0,0.381,0.437,1,0.563,0.706,0,0.294,0
0.403,1,0.597,0.675,0,0.325,0.263,1,0.737,0.756,0,0.244,1
0.462,1,0.538,0.269,1,0.731,0.36,1,0.64,0.332,1,0.668,1
0.751,0,0.249,0.302,1,0.698,0.313,1,0.687,0.355,1,0.645,1
0.365,1,0.635,0.831,0,0.169,0.211,1,0.789,0.237,1,0.763,1
0.734,0,0.266,0.445,1,0.555,0.758,0,0.242,0.305,1,0.695,1
0.485,1,0.515,0.64,0,0.36,0.604,0,0.396,0.75,0,0.25,0
0.618,0,0.382,0.201,1,0.799,0.193,1,0.807,0.674,0,0.326,1
0.562,0,0.438,0.761,0,0.239,0.389,1,0.611,0.4,1,0.6,1
0.582,0,0.418,0.274,1,0.726,0.913,0,0.087,0.054,1,0.946,1
0.307,1,0.693,0.119,1,0.881,0.879,0,0.121,0.056,1,0.944,1
0.74,0,0.26,0.623,0,0.377,0.561,0,0.439,0.352,1,0.648,0
0.424,1,0.576,0.539,0,0.461,0.431,1,0.569,0.626,0,0.374,1
0.608,0,0.392,0.438,1,0.562,0.67,0,0.33,0.679,0,0.321,0
0.571,0,0.429,0.46,1,0.54,0.541,0,0.459,0.681,0,0.319,0
0.403,1,0.597,0.846,0,0.154,0.71,0,0.29,0.753,0,0.247,0
0.645,0,0.355,0.626,0,0.374,0.492,1,0.508,0.114,1,0.886,1
0.583,0,0.417,0.254,1,0.746,0.89,0,0.11,0.652,0,0.348,0
0.494,1,0.506,0.527,0,0.473,0.338,1,0.662,0.621,0,0.379,1
0.735,0,0.265,0.164,1,0.836,0.454,1,0.546,0.142,1,0.858,1
0.605,0,0.395,0.309,1,0.691,0.379,1,0.621,0.889,0,0.111,1
0.437,1,0.563,0.604,0,0.396,0.877,0,0.123,0.34,1,0.66,1
0.884,0,0.116,0.661,0,0.339,0.604,0,0.396,0.646,0,0.354,0
0.807,0,0.193,0.796,0,0.204,0.163,1,0.837,0.5,0,0.5,0
0.593,0,0.407,0.79,0,0.21,0.55,0,0.45,0.176,1,0.824,0
0.439,1,0.561,0.529,0,0.471,0.288,1,0.712,0.767,0,0.233,1
0.093,1,0.907,0.559,0,0.441,0.495,1,0.505,0.673,0,0.327,1
0.602,0,0.398,0.551,0,0.449,0.67,0,0.33,0.809,0,0.191,0
0.83,0,0.17,0.299,1,0.701,0.061,1,0.939,0.317,1,0.683,1
0.861,0,0.139,0.461,1,0.539,0.362,1,0.638,0.65,0,0.35,1
0.603,0,0.397,0.289,1,0.711,0.127,1,0.873,0.126,1,0.874,1
0.152,1,0.848,0.476,1,0.524,0.731,0,0.269,0.623,0,0.377,1
0.852,0,0.148,0.533,0,0.467,0.82,0,0.18,0.358,1,0.642,0
0.588,0,0.412,0.504,0,0.496,0.354,1,0.646,0.802,0,0.198,0
0.461,1,0.539,0.635,0,0.365,0.448,1,0.552,0.459,1,0.541,1
0.68,0,0.32,0.16,1,0.84,0.522,0,0.478,0.369,1,0.631,1
0.304,1,0.696,0.629,0,0.371,0.338,1,0.662,0.557,0,0.443,1
0.303,1,0.697,0.404,1,0.596,0.577,0,0.423,0.618,0,0.382,1
0.806,0,0.194,0.661,0,0.339,0.697,0,0.303,0.525,0,0.475,0
0.41,1,0.59,0.172,1,0.828,0.742,0,0.258,0.769,0,0.231,1
0.389,1,0.611,0.792,0,0.208,0.464,1,0.536,0.419,1,0.581,1
0.578,0,0.422,0.717,0,0.283,0.723,0,0.277,0.453,1,0.547,0
0.72,0,0.28,0.322,1,0.678,0.212,1,0.788,0.96,0,0.04,1
0.232,1,0.768,0.455,1,0.545,0.337,1,0.663,0.411,1,0.589,1
0.79,0,0.21,0.633,0,0.367,0.295,1,0.705,0.43,1,0.57,1
0.665,0,0.335,0.355,1,0.645,0.186,1,0.814,0.35,1,0.65,1
0.401,1,0.599,0.54,0,0.46,0.39,1,0.61,0.601,0,0.399,1
0.321,1,0.679,0.614,0,0.386,0.633,0,0.367,0.41,1,0.59,1
0.21,1,0.79,0.605,0,0.395,0.778,0,0.222,0.822,0,0.178,0
0.71,0,0.29,0.242,1,0.758,0.485,1,0.515,0.215,1,0.785,1
0.251,1,0.749,0.357,1,0.643,0.761,0,0.239,0.417,1,0.583,1
0.496,1,0.504,0.376,1,0.624,0.714,0,0.286,0.548,0,0.452,1
0.5,1,0.5,0.489,1,0.511,0.782,0,0.218,0.63,0,0.37,1
0.571,0,0.429,0.533,0,0.467,0.342,1,0.658,0.427,1,0.573,1
0.243,1,0.757,0.677,0,0.323,0.602,0,0.398,0.347,1,0.653,1
0.831,0,0.169,0.205,1,0.795,0.5,1,0.5,0.754,0,0.246,1
0.83,0,0.17,0.806,0,0.194,0.723,0,0.277,0.207,1,0.793,0
0.205,1,0.795,0.86,0,0.14,0.647,0,0.353,0.474,1,0.526,1
0.389,1,0.611,0.367,1,0.633,0.328,1,0.672,0.559,0,0.441,1
0.159,1,0.841,0.598,0,0.402,0.837,0,0.163,0.859,0,0.141,0
0.304,1,0.696,0.193,1,0.807,0.333,1,0.667,0.164,1,0.836,1
0.613,0,0.387,0.333,1,0.667,0.255,1,0.745,0.554,0,0.446,1
0.269,1,0.731,0.531,0,0.469,0.356,1,0.644,0.463,1,0.537,1
0.348,1,0.652,0.324,1,0.676,0.693,0,0.307,0.518,0,0.482,1
0.662,0,0.338,0.253,1,0.747,0.595,0,0.405,0.868,0,0.132,0
0.535,0,0.465,0.26,1,0.74,0.721,0,0.279,0.262,1,0.738,1
0.717,0,0.283,0.553,0,0.447,0.579,0,0.421,0.47,1,0.53,0
0.187,1,0.813,0.837,0,0.163,0.432,1,0.568,0.665,0,0.335,1
0.08,1,0.92,0.971,0,0.029,0.391,1,0.609,0.449,1,0.551,1
0.088,1,0.912,0.236,1,0.764,0.413,1,0.587,0.649,0,0.351,1
0.771,0,0.229,0.509,0,0.491,0.64,0,0.36,0.522,0,0.478,0
0.409,1,0.591,0.709,0,0.291,0.707,0,0.293,0.363,1,0.637,1
0.101,1,0.899,0.446,1,0.554,0.219,1,0.781,0.661,0,0.339,1
0.633,0,0.367,0.421,1,0.579,0.385,1,0.615,0.495,1,0.505,1
0.324,1,0.676,0.437,1,0.563,0.235,1,0.765,0.181,1,0.819,1
0.748,0,0.252,0.625,0,0.375,0.33,1,0.67,0.665,0,0.335,0
0.402,1,0.598,0.355,1,0.645,0.836,0,0.164,0.667,0,0.333,1
0.563,0,0.437,0.764,0,0.236,0.235,1,0.765,0.571,0,0.429,0
0.526,0,0.474,0.604,0,0.396,0.547,0,0.453,0.854,0,0.146,0
0.364,1,0.636,0.723,0,0.277,0.167,1,0.833,0.129,1,0.871,1
0.498,1,0.502,0.331,1,0.669,0.621,0,0.379,0.743,0,0.257,1
0.298,1,0.702,0.686,0,0.314,0.019,1,0.981,0.112,1,0.888,1
0.415,1,0.585,0.83,0,0.17,0.472,1,0.528,0.796,0,0.204,1
0.882,0,0.118,0.428,1,0.572,0.533,0,0.467,0.5,1,0.5,1
0.444,1,0.556,0.426,1,0.574,0.306,1,0.694,0.424,1,0.576,1
0.314,1,0.686,0.784,0,0.216,0.812,0,0.188,0.438,1,0.562,1
0.312,1,0.688,0.299,1,0.701,0.742,0,0.258,0.297,1,0.703,1
0.315,1,0.685,0.505,0,0.495,0.352,1,0.648,0.511,0,0.489,1
0.353,1,0.647,0.622,0,0.378,0.441,1,0.559,0.585,0,0.415,1
0.637,0,0.363,0.927,0,0.073,0.784,0,0.216,0.363,1,0.637,0
0.512,0,0.488,0.365,1,0.635,0.185,1,0.815,0.372,1,0.628,1
0.61,0,0.39,0.446,1,0.554,0.402,1,0.598,0.532,0,0.468,1
0.326,1,0.674,0.438,1,0.562,0.518,0,0.482,0.238,1,0.762,1
0.446,1,0.554,0.325,1,0.675,0.799,0,0.201,0.526,0,0.474,1
0.277,1,0.723,0.882,0,0.118,0.349,1,0.651,0.491,1,0.509,1
0.594,0,0.406,0.595,0,0.405,0.844,0,0.156,0.361,1,0.639,0
0.46,1,0.54,0.22,1,0.78,0.317,1,0.683,0.242,1,0.758,1
0.585,0,0.415,0.767,0,0.233,0.718,0,0.282,0.7,0,0.3,0
0.12,1,0.88,0.5,1,0.5,0.045,1,0.955,0.644,0,0.356,1
0.114,1,0.886,0.825,0,0.175,0.625,0,0.375,0.29,1,0.71,1
0.875,0,0.125,0.371,1,0.629,0.517,0,0.483,0.286,1,0.714,1
0.717,0,0.283,0.507,0,0.493,0.401,1,0.599,0.299,1,0.701,1
0.76,0,0.24,0.358,1,0.642,0.656,0,0.344,0.718,0,0.282,0
0.918,0,0.082,0.406,1,0.594,0.22,1,0.78,0.486,1,0.514,1
0.234,1,0.766,0.197,1,0.803,0.454,1,0.546,0.831,0,0.169,1
0.271,1,0.729,0.155,1,0.845,0.893,0,0.107,0.773,0,0.227,1
0.304,1,0.696,0.85,0,0.15,0.831,0,0.169,0.238,1,0.762,1
0.4,1,0.6,0.439,1,0.561,0.195,1,0.805,0.112,1,0.888,1
0.412,1,0.588,0.183,1,0.817,0.57,0,0.43,0.37,1,0.63,1
0.132,1,0.868,0.512,0,0.488,0.524,0,0.476,0.504,0,0.496,0
0.539,0,0.461,0.108,1,0.892,0.575,0,0.425,0.634,0,0.366,0
0.767,0,0.233,0.573,0,0.427,0.666,0,0.334,0.89,0,0.11,0
0.341,1,0.659,0.329,1,0.671,0.522,0,0.478,0.105,1,0.895,1
0.454,1,0.546,0.125,1,0.875,0.58,0,0.42,0.274,1,0.726,1
0.832,0,0.168,0.76,0,0.24,0.067,1,0.933,0.684,0,0.316,0
0.633,0,0.367,0.537,0,0.463,0.55,0,0.45,0.404,1,0.596,0
0.397,1,0.603,0.145,1,0.855,0.734,0,0.266,0.814,0,0.186,1
0.096,1,0.904,0.329,1,0.671,0.404,1,0.596,0.464,1,0.536,1
0.584,0,0.416,0.41,1,0.59,0.442,1,0.558,0.29,1,0.71,1
0.687,0,0.313,0.281,1,0.719,0.776,0,0.224,0.499,1,0.501,1
0.249,1,0.751,0.419,1,0.581,0.317,1,0.683,0.432,1,0.568,1
0.646,0,0.354,0.375,1,0.625,0.602,0,0.398,0.68,0,0.32,0
0.897,0,0.103,0.419,1,0.581,0.771,0,0.229,0.159,1,0.841,1
0.349,1,0.651,0.604,0,0.396,0.477,1,0.523,0.262,1,0.738,1
0.438,1,0.562,0.47,1,0.53,0.539,0,0.461,0.563,0,0.437,1
0.434,1,0.566,0.1,1,0.9,0.936,0,0.064,0.634,0,0.366,1
0.268,1,0.732,0.668,0,0.332,0.109,1,0.891,0.175,1,0.825,1
0.38,1,0.62,0.206,1,0.794,0.617,0,0.383,0.385,1,0.615,1
0.418,1,0.582,0.461,1,0.539,0.575,0,0.425,0.507,0,0.493,1
0.549,0,0.451,0.307,1,0.693,0.538,0,0.462,0.808,0,0.192,0
0.695,0,0.305,0.27,1,0.73,0.366,1,0.634,0.635,0,0.365,1
0.888,0,0.112,0.355,1,0.645,0.321,1,0.679,0.21,1,0.79,1
0.364,1,0.636,0.588,0,0.412,0.425,1,0.575,0.915,0,0.085,1
0.455,1,0.545,0.173,1,0.827,0.936,0,0.064,0.885,0,0.115,1
0.689,0,0.311,0.296,1,0.704,0.804,0,0.196,0.621,0,0.379,0
0.852,0,0.148,0.433,1,0.567,0.365,1,0.635,0.574,0,0.426,1
0.537,0,0.463,0.413,1,0.587,0.521,0,0.479,0.205,1,0.795,1
0.318,1,0.682,0.648,0,0.352,0.509,0,0.491,0.609,0,0.391,0
0.352,1,0.648,0.344,1,0.656,0.391,1,0.609,0.378,1,0.622,1
0.735,0,0.265,0.176,1,0.824,0.413,1,0.587,0.354,1,0.646,1
0.612,0,0.388,0.719,0,0.281,0.304,1,0.696,0.364,1,0.636,1
0.726,0,0.274,0.699,0,0.301,0.514,0,0.486,0.269,1,0.731,0
0.842,0,0.158,0.348,1,0.652,0.535,0,0.465,0.342,1,0.658,1
0.105,1,0.895,0.69,0,0.31,0.547,0,0.453,0.834,0,0.166,0
0.643,0,0.357,0.524,0,0.476,0.432,1,0.568,0.542,0,0.458,0
0.236,1,0.764,0.518,0,0.482,0.297,1,0.703,0.162,1,0.838,1
0.638,0,0.362,0.675,0,0.325,0.489,1,0.511,0.227,1,0.773,1
0.359,1,0.641,0.252,1,0.748,0.146,1,0.854,0.559,0,0.441,1
0.314,1,0.686,0.33,1,0.67,0.577,0,0.423,0.235,1,0.765,1
0.453,1,0.547,0.403,1,0.597,0.095,1,0.905,0.628,0,0.372,1
0.357,1,0.643,0.54,0,0.46,0.776,0,0.224,0.398,1,0.602,1
0.346,1,0.654,0.358,1,0.642,0.648,0,0.352,0.592,0,0.408,1
0.295,1,0.705,0.909,0,0.091,0.887,0,0.113,0.225,1,0.775,1
0.792,0,0.208,0.769,0,0.231,0.798,0,0.202,0.475,1,0.525,0
0.744,0,0.256,0.465,1,0.535,0.362,1,0.638,0.422,1,0.578,1
0.042,1,0.958,0.51,0,0.49,0.505,0,0.495,0.815,0,0.185,0
0.902,0,0.098,0.375,1,0.625,0.329,1,0.671,0.24,1,0.76,1
0.717,0,0.283,0.493,1,0.507,0.564,0,0.436,0.595,0,0.405,0
0.41,1,0.59,0.644,0,0.356,0.814,0,0.186,0.568,0,0.432,0
0.389,1,0.611,0.223,1,0.777,0.595,0,0.405,0.383,1,0.617,1
0.243,1,0.757,0.59,0,0.41,0.208,1,0.792,0.199,1,0.801,1
0.341,1,0.659,0.584,0,0.416,0.638,0,0.362,0.503,0,0.497,0
0.206,1,0.794,0.101,1,0.899,0.487,1,0.513,0.598,0,0.402,1
0.707,0,0.293,0.826,0,0.174,0.409,1,0.591,0.544,0,0.456,0
0.944,0,0.056,0.57,0,0.43,0.947,0,0.053,0.364,1,0.636,0
0.225,1,0.775,0.439,1,0.561,0.541,0,0.459,0.29,1,0.71,1
0.606,0,0.394,0.59,0,0.41,0.52,0,0.48,0.328,1,0.672,0
0.737,0,0.263,0.658,0,0.342,0.591,0,0.409,0.626,0,0.374,0
0.189,1,0.811,0.536,0,0.464,0.606,0,0.394,0.239,1,0.761,1
0.687,0,0.313,0.639,0,0.361,0.337,1,0.663,0.34,1,0.66,1
0.669,0,0.331,0.265,1,0.735,0.791,0,0.209,0.39,1,0.61,1
0.444,1,0.556,0.946,0,0.054,0.184,1,0.816,0.357,1,0.643,1
0.318,1,0.682,0.425,1,0.575,0.19,1,0.81,0.374,1,0.626,1
0.499,1,0.501,0.596,0,0.404,0.255,1,0.745,0.347,1,0.653,1
0.22,1,0.78,0.44,1,0.56,0.897,0,0.103,0.393,1,0.607,1
0.771,0,0.229,0.37,1,0.63,0.668,0,0.332,0.788,0,0.212,0
0.273,1,0.727,0.74,0,0.26,0.283,1,0.717,0.805,0,0.195,1
0.185,1,0.815,0.443,1,0.557,0.33,1,0.67,0.303,1,0.697,1
0.434,1,0.566,0.85,0,0.15,0.289,1,0.711,0.839,0,0.161,1
0.395,1,0.605,0.799,0,0.201,0.594,0,0.406,0.619,0,0.381,0
0.766,0,0.234,0.336,1,0.664,0.5,0,0.5,0.364,1,0.636,1
0.042,1,0.958,0.57,0,0.43,0.487,1,0.513,0.314,1,0.686,1
0.664,0,0.336,0.194,1,0.806,0.717,0,0.283,0.436,1,0.564,1
0.55,0,0.45,0.48,1,0.52,0.479,1,0.521,0.487,1,0.513,1
0.176,1,0.824,0.602,0,0.398,0.513,0,0.487,0.654,0,0.346,0
0.689,0,0.311,0.544,0,0.456,0.706,0,0.294,0.041,1,0.959,0
0.472,1,0.528,0.597,0,0.403,0.171,1,0.829,0.416,1,0.584,1
0.746,0,0.254,0.631,0,0.369,0.539,0,0.461,0.117,1,0.883,0
0.337,1,0.663,0.767,0,0.233,0.659,0,0.341,0.877,0,0.123,0
